Year,Host_City,Host_Country,Country,Gold,Silver,Bronze,M_Total,Men,Women,P_Total,Population,Latitude,Longtitude,Participation_Per_Ten_Million,,,,
1996,Atlanta,United States of America,Austria,6,6,10,22,44,5,49,1711057,25.930414,50.637772,1909.151283,,,,
1996,Atlanta,United States of America,Azerbaijan,0,0,0,0,2,0,2,9448772,53.709807,27.953389,14.11118115,,,,
1996,Atlanta,United States of America,Bahrain,0,0,0,0,6,0,6,11598451,50.503887,4.469936,34.48736387,,,,
1996,Atlanta,United States of America,Belarus,3,3,7,13,11,4,15,62237,32.321384,-64.75737,16067.61251,,,,
1996,Atlanta,United States of America,Belgium,8,10,7,25,32,6,38,3277152,43.915886,17.679076,773.0289389,,,,
1996,Atlanta,United States of America,Bermuda,0,0,0,0,0,2,2,212821986,-14.235004,-51.92528,0.626501687,,,,
1996,Atlanta,United States of America,Bosnia and Herzegovina,0,0,0,0,3,0,3,6939018,42.733883,25.48583,28.82252215,,,,
1996,Atlanta,United States of America,Brazil,2,6,13,21,41,19,60,20997293,12.238333,-1.561593,190.5007469,,,,
1996,Atlanta,United States of America,Bulgaria,0,1,1,2,4,2,6,37799407,56.130366,-106.346771,10.58217659,,,,
1996,Atlanta,United States of America,Burkina Faso,0,0,0,0,3,0,3,19144605,-35.675147,-71.542969,10.44680734,,,,
1996,Atlanta,United States of America,Canada,24,21,24,69,94,38,132,1440297825,35.86166,104.195397,6.109847455,,,,
1996,Atlanta,United States of America,Chile,0,0,0,0,2,0,2,23816775,25.105497,121.597366,5.598295039,,,,
1996,Atlanta,United States of America,People's Republic of China,16,13,10,39,27,10,37,50976248,4.570868,-74.297333,48.38854885,,,,
1996,Atlanta,United States of America,Chinese Taipei,1,0,2,3,13,1,14,26486282,7.539989,-5.54708,35.23836729,,,,
1996,Atlanta,United States of America,Colombia,0,0,0,0,2,0,2,4100719,45.1,15.2,32.51462325,,,,
1996,Atlanta,United States of America,Côte d'Ivoire,2,0,0,2,2,0,2,11325391,21.521757,-77.781167,11.7729563,,,,
1996,Atlanta,United States of America,Croatia,0,0,0,0,2,3,5,1208886,35.126413,33.429859,275.735953,,,,
1996,Atlanta,United States of America,Cuba,8,3,0,11,9,1,10,10712481,49.817492,15.472962,62.2327047,,,,
1996,Atlanta,United States of America,Cyprus,0,0,0,0,4,0,4,5795780,56.26392,9.501785,46.01048809,,,,
